Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Columbiana city,0.713,0.251,0.003,0.002,0.03
AL,Concord CDP,0.985,0.005,0.002,0.002,0.005
AL,Coosada town,0.577,0.4,0.004,0.002,0.029
AL,Cordova city,0.834,0.145,0.008,0.001,0.007
AL,Cottonwood town,0.718,0.254,0.006,0,0.011
AL,County Line town,0.942,0.012,0.031,0.012,0.004
AL,Courtland town,0.576,0.384,0.013,0.003,0.003
AL,Cowarts town,0.808,0.146,0.007,0.001,0.017
AL,Creola city,0.847,0.098,0.018,0.001,0.031
AL,Crossville town,0.887,0.004,0.019,0.002,0.083
AL,Cuba town,0.853,0.13,0.006,0,0.003
AL,Cullman city,0.934,0.009,0.003,0.009,0.082
AL,Cullomburg CDP,0.421,0.573,0,0,0
AL,Cusseta town,0.959,0.024,0,0.016,0
AL,Dadeville city,0.502,0.475,0.003,0.006,0.009
AL,Daleville city,0.662,0.226,0.011,0.027,0.101
AL,Daphne city,0.841,0.118,0.004,0.015,0.029
AL,Dauphin Island town,0.973,0.004,0.01,0.002,0.007
AL,Daviston town,0.888,0.103,0,0.009,0.019
AL,Dayton town,0.327,0.654,0,0,0
AL,Deatsville town,0.776,0.194,0.001,0.003,0.016
AL,Decatur city,0.665,0.217,0.007,0.009,0.124
AL,Deer Park CDP,0.319,0.665,0,0,0.016
AL,Delta CDP,0.97,0,0.025,0,0.005
AL,Demopolis city,0.473,0.501,0.001,0.005,0.024
AL,Detroit town,0.831,0.139,0,0,0.004
AL,Dodge City town,0.96,0.007,0.008,0,0.025
AL,Dora city,0.856,0.122,0.003,0,0.007
AL,Dothan city,0.631,0.325,0.004,0.011,0.029
AL,Double Springs town,0.973,0.006,0.008,0.002,0.004
AL,Douglas town,0.933,0.008,0.004,0,0.039
AL,Dozier town,0.596,0.353,0.003,0.003,0
AL,Dunnavant CDP,0.967,0.004,0.007,0,0.023
AL,Dutton town,0.908,0.025,0,0,0.032
AL,East Brewton city,0.747,0.208,0.006,0,0.031
AL,East Point CDP,0.965,0,0,0.01,0.035
AL,Eclectic town,0.864,0.11,0.004,0,0.013
AL,Edgewater CDP,0.31,0.684,0.001,0,0.01
AL,Edwardsville town,0.98,0.005,0,0,0
AL,Egypt CDP,0.943,0.009,0.005,0.005,0.033
AL,Elba city,0.621,0.343,0.012,0.003,0.011
AL,Elberta town,0.929,0.014,0.003,0.008,0.053
AL,Eldridge town,0.977,0.008,0,0,0
AL,Elkmont town,0.859,0.127,0.012,0,0
AL,Elmore town,0.643,0.267,0.001,0.002,0.088
AL,Emelle town,0.057,0.943,0,0,0
AL,Emerald Mountain CDP,0.871,0.11,0.002,0.006,0.016
AL,Enterprise city,0.694,0.207,0.005,0.02,0.088
AL,Epes town,0.089,0.911,0,0,0
AL,Ethelsville town,0.741,0.259,0,0,0
AL,Eufaula city,0.51,0.446,0.005,0.006,0.043
AL,Eunola CDP,0.914,0.074,0,0.004,0.016
AL,Eutaw town,0.181,0.802,0.001,0.004,0.013
AL,Eva town,0.963,0,0.004,0.002,0.004
AL,Evergreen city,0.348,0.624,0.002,0.002,0.023
AL,Excel town,0.911,0.05,0.014,0,0.007
AL,Fairfield city,0.042,0.946,0,0,0.011
AL,Fairford CDP,0.613,0.177,0.199,0,0
AL,Fairhope city,0.911,0.062,0.002,0.007,0.028
AL,Fairview town,0.955,0.002,0,0.004,0.112
AL,Falkville town,0.921,0.034,0.011,0.001,0.022
AL,Faunsdale town,0.673,0.327,0,0,0
AL,Fayette city,0.734,0.243,0.003,0.003,0.014
AL,Fayetteville CDP,0.972,0.013,0.003,0,0.003
AL,Fitzpatrick CDP,0.783,0.217,0,0,0.024
AL,Five Points town,0.468,0.525,0,0,0
AL,Flomaton town,0.695,0.272,0.016,0.001,0.023
AL,Florala town,0.801,0.158,0.008,0.004,0.028
AL,Florence city,0.75,0.194,0.004,0.014,0.036
AL,Foley city,0.771,0.149,0.006,0.011,0.095
AL,Forestdale CDP,0.262,0.714,0.002,0.002,0.014
AL,Forkland town,0.119,0.874,0.002,0,0.008
AL,Fort Deposit town,0.237,0.755,0.001,0.001,0.004
AL,Fort Payne city,0.776,0.042,0.009,0.008,0.209
AL,Fort Rucker CDP,0.777,0.119,0.008,0.013,0.132
AL,Franklin town,0.477,0.497,0,0.013,0
AL,Fredonia CDP,0.879,0.116,0,0,0
AL,Frisco City town,0.454,0.493,0.013,0,0.018
AL,Fruitdale CDP,0.703,0.286,0,0,0.016
AL,Fruithurst town,0.982,0,0.011,0.004,0
AL,Fulton town,0.849,0.11,0,0.007,0.033
AL,Fultondale city,0.751,0.166,0.004,0.01,0.108
AL,Fyffe town,0.94,0.003,0.015,0.007,0.013
AL,Gadsden city,0.573,0.363,0.004,0.006,0.054
AL,Gainesville town,0.163,0.822,0,0,0
AL,Gallant CDP,0.967,0.002,0.006,0,0.016
AL,Gantt town,0.77,0.23,0,0,0
AL,Garden City town,0.982,0.002,0.004,0,0.004
AL,Gardendale city,0.884,0.086,0.003,0.012,0.015
AL,Gaylesville town,0.965,0,0,0,0.035
AL,Geiger town,0.265,0.735,0,0,0.029
AL,Geneva city,0.832,0.14,0.004,0.004,0.018
AL,Georgiana town,0.331,0.654,0.003,0.001,0.003
AL,Geraldine town,0.935,0.003,0.037,0,0.02
AL,Gilbertown town,0.772,0.219,0,0.005,0
AL,Glen Allen town,0.894,0.094,0.002,0.002,0.002
AL,Glencoe city,0.965,0.013,0.003,0.005,0.008
AL,Glenwood town,0.701,0.299,0,0,0
AL,Goldville town,1,0,0,0,0.055
AL,Good Hope town,0.927,0.003,0.004,0.005,0.077
AL,Goodwater town,0.243,0.737,0.007,0,0.007
AL,Gordo town,0.589,0.378,0.002,0.002,0.015
AL,Gordon town,0.214,0.765,0.003,0,0.015
AL,Gordonville town,0.052,0.948,0,0,0
AL,Goshen town,0.767,0.226,0.004,0,0
AL,Graham CDP,0.839,0.161,0,0,0
AL,Grand Bay CDP,0.869,0.094,0.006,0.007,0.023
AL,Grant town,0.981,0,0,0.004,0.013
AL,Grayson Valley CDP,0.706,0.258,0.003,0.009,0.022
AL,Graysville city,0.739,0.236,0.004,0.002,0.017
AL,Greensboro city,0.32,0.665,0.002,0.008,0.005
AL,Greenville city,0.417,0.555,0,0.018,0.013
AL,Grimes town,0.559,0.367,0,0,0.029
AL,Grove Hill town,0.566,0.413,0.003,0.003,0.02
AL,Guin city,0.869,0.109,0,0.001,0.013
AL,Gulfcrest CDP,0.882,0.031,0.056,0,0.012
AL,Gulf Shores city,0.934,0.015,0.005,0.009,0.04
AL,Guntersville city,0.858,0.078,0.005,0.015,0.038
AL,Gurley town,0.763,0.171,0.017,0.012,0.035
AL,Gu-Win town,0.858,0.051,0.04,0,0.04
AL,Hackleburg town,0.977,0.001,0.002,0,0.013
AL,Hackneyville CDP,0.977,0.009,0.003,0.012,0.003
AL,Haleburg town,0.942,0.049,0,0,0
AL,Haleyville city,0.921,0.007,0.01,0.005,0.06
AL,Hamilton city,0.893,0.077,0.004,0.002,0.031
AL,Hammondville town,0.9,0.008,0.002,0.006,0.068
AL,Hanceville city,0.924,0.036,0.002,0.007,0.024
AL,Harpersville town,0.731,0.235,0.003,0.007,0.026
AL,Hartford city,0.779,0.179,0.006,0.001,0.031
AL,Hartselle city,0.915,0.043,0.008,0.004,0.025
AL,Harvest CDP,0.622,0.317,0.005,0.012,0.031
AL,Hatton CDP,0.897,0,0.073,0,0
AL,Hayden town,0.876,0.088,0.007,0.002,0
AL,Hayneville town,0.15,0.845,0,0,0.001
AL,Hazel Green CDP,0.889,0.059,0.015,0.004,0.023
AL,Headland city,0.701,0.275,0.004,0.003,0.014
AL,Heath town,0.886,0.106,0,0,0.012
AL,Heflin city,0.873,0.094,0.005,0.001,0.024
AL,Helena city,0.825,0.131,0.002,0.015,0.033
AL,Henagar city,0.962,0,0.018,0,0.014
AL,Highland Lake town,0.988,0,0.01,0.002,0.007
AL,Highland Lakes CDP,0.876,0.076,0.002,0.023,0.016
AL,Hillsboro town,0.141,0.801,0.018,0.002,0.016
AL,Hissop CDP,0.251,0.743,0,0.002,0.02
AL,Hobson CDP,0.992,0,0,0,0
AL,Hobson City town,0.126,0.859,0,0.004,0.013
AL,Hodges town,0.986,0,0.014,0,0.01
AL,Hokes Bluff city,0.985,0.003,0.001,0.004,0.002
AL,Hollins CDP,0.894,0.077,0.006,0,0.007
AL,Hollis Crossroads CDP,0.86,0.054,0.003,0,0.084
AL,Holly Pond town,0.985,0.003,0.004,0,0.014
AL,Hollywood town,0.758,0.148,0.017,0.003,0.049
AL,Holt CDP,0.394,0.552,0.004,0.002,0.072
AL,Holtville CDP,0.904,0.074,0.005,0.002,0.013
AL,Homewood city,0.746,0.173,0.002,0.022,0.073
AL,Hoover city,0.751,0.148,0.002,0.051,0.06
AL,Horn Hill town,0.917,0.013,0.039,0,0.031
AL,Hueytown city,0.7,0.272,0.003,0.005,0.02
AL,Huguley CDP,0.73,0.25,0.006,0.002,0.012
AL,Huntsville city,0.603,0.312,0.006,0.024,0.058
AL,Hurtsboro town,0.291,0.696,0.005,0,0.022
AL,Hytop town,0.915,0.003,0.045,0,0.034
AL,Ider town,0.932,0.006,0.04,0,0.001
AL,Indian Springs Village city,0.957,0.015,0.002,0.019,0.009
AL,Irondale city,0.563,0.354,0.003,0.014,0.078
AL,Ivalee CDP,0.961,0.016,0.005,0,0.014
AL,Jackson city,0.549,0.429,0.007,0.004,0.014
AL,Jacksons' Gap town,0.682,0.289,0.005,0.005,0.019
AL,Jacksonville city,0.687,0.268,0.005,0.013,0.023
AL,Jasper city,0.813,0.134,0.003,0.007,0.044
AL,Jemison city,0.778,0.177,0.001,0.001,0.07
AL,Joppa CDP,0.814,0.002,0.008,0,0.172
AL,Kansas town,1,0,0,0,0
AL,Kellyton town,0.682,0.198,0,0,0.115
AL,Kennedy town,0.834,0.143,0,0.002,0.009
AL,Killen town,0.94,0.032,0.003,0.005,0.024
AL,Kimberly town,0.962,0.018,0.004,0.006,0.008
AL,Kinsey town,0.499,0.46,0.003,0.001,0.04
AL,Kinston town,0.956,0.002,0.02,0.006,0.009
AL,Ladonia CDP,0.865,0.098,0.007,0.003,0.027
AL,La Fayette city,0.293,0.688,0.001,0.004,0.019
AL,Lakeview town,0.867,0,0.035,0,0
AL,Lake View town,0.939,0.042,0.001,0.007,0.006
AL,Lanett city,0.393,0.575,0.002,0.001,0.024
AL,Langston town,0.944,0.011,0,0,0
AL,Leeds city,0.787,0.143,0.004,0.006,0.066
AL,Leesburg town,0.965,0.011,0,0,0.013
AL,Leighton town,0.433,0.532,0.003,0.001,0.005
AL,Leroy CDP,0.786,0.201,0.002,0,0.002
AL,Lester town,0.991,0,0,0,0.009
AL,Level Plains town,0.753,0.124,0.005,0.015,0.11
AL,Lexington town,0.984,0,0.005,0.001,0.008
AL,Libertyville town,0.889,0.009,0.017,0,0.043
AL,Lincoln city,0.733,0.234,0.005,0.004,0.019
AL,Linden city,0.511,0.467,0.001,0.002,0.02
AL,Lineville city,0.586,0.369,0.003,0.002,0.046
AL,Lipscomb city,0.22,0.61,0.011,0,0.197
AL,Lisman town,0.067,0.922,0,0,0.002
AL,Littleville town,0.965,0.007,0.007,0.006,0.018
AL,Livingston city,0.346,0.639,0.001,0.003,0.007
AL,Loachapoka town,0.589,0.372,0,0.028,0.011
AL,Lockhart town,0.727,0.252,0.002,0,0.014
AL,Locust Fork town,0.97,0.006,0.008,0,0.024
AL,Lookout Mountain CDP,0.959,0.023,0.004,0,0.012
AL,Louisville town,0.493,0.441,0.008,0,0.079
AL,Lowndesboro town,0.765,0.209,0,0,0.009
AL,Loxley town,0.844,0.094,0.007,0.006,0.051
AL,Luverne city,0.626,0.296,0.003,0.055,0.019
AL,Lynn town,0.98,0,0.003,0,0.009
AL,McDonald Chapel CDP,0.558,0.393,0,0.006,0.028
AL,Macedonia CDP,0.089,0.911,0,0,0
AL,McIntosh town,0.37,0.555,0.042,0.004,0.029
AL,McKenzie town,0.677,0.298,0.004,0,0.004
AL,McMullen town,0.1,0.6,0,0,0.3
AL,Madison city,0.74,0.146,0.005,0.07,0.043
AL,Madrid town,0.889,0.086,0.006,0.009,0.031
AL,Magnolia Springs town,0.963,0.001,0.006,0.004,0.028
AL,Malcolm CDP,0.401,0.572,0.005,0.005,0
AL,Malvern town,0.912,0.048,0.007,0.001,0.048
AL,Maplesville town,0.689,0.285,0.001,0,0.011
AL,Marbury CDP,0.922,0.038,0.001,0,0.038
AL,Margaret town,0.773,0.193,0.003,0.008,0.016
AL,Marion city,0.343,0.641,0.002,0.006,0.019
AL,Maytown town,0.894,0.096,0.003,0,0
AL,Meadowbrook CDP,0.928,0.039,0.001,0.021,0.016
AL,Megargel CDP,0.919,0.032,0.032,0,0
AL,Memphis town,0,1,0,0,0
AL,Mentone town,0.922,0.019,0.014,0,0.006
AL,Meridianville CDP,0.763,0.185,0.007,0.017,0.027
AL,Midfield city,0.164,0.816,0.001,0.002,0.014
AL,Midland City town,0.704,0.233,0.005,0.004,0.041
AL,Midway town,0.106,0.89,0,0,0.006
AL,Mignon CDP,0.649,0.271,0.001,0.005,0.069
AL,Millbrook city,0.742,0.216,0.004,0.008,0.028
AL,Millerville CDP,0.917,0.076,0,0.007,0
AL,Millport town,0.647,0.337,0.001,0,0.01
AL,Millry town,0.604,0.379,0.005,0.002,0.004
AL,Minor CDP,0.776,0.209,0.003,0,0.015
AL,Mobile city,0.45,0.506,0.003,0.018,0.024
AL,Monroeville city,0.421,0.557,0.003,0.003,0.008
AL,Montevallo city,0.702,0.246,0.003,0.006,0.057
AL,Montgomery city,0.373,0.566,0.002,0.022,0.039
AL,Moody city,0.882,0.078,0.003,0.014,0.021
AL,Moores Mill CDP,0.709,0.226,0.011,0.015,0.024
AL,Mooresville town,0.943,0.057,0,0,0
AL,Morris town,0.977,0.01,0.001,0.003,0.011
AL,Morrison Crossroads CDP,0.927,0.023,0,0.005,0.055
AL,Mosses town,0.015,0.979,0,0,0.018
AL,Moulton city,0.782,0.131,0.041,0.004,0.016
AL,Moundville town,0.562,0.404,0.007,0.007,0.018
AL,Mountain Brook city,0.972,0.01,0.001,0.009,0.01
