Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
IA,Gillett Grove city,0.98,0,0,0,0
IA,Gilman city,0.996,0,0,0,0.008
IA,Gilmore City city,0.978,0.004,0,0.004,0.016
IA,Gladbrook city,0.988,0,0,0,0.01
IA,Glenwood city,0.968,0.006,0.003,0.004,0.027
IA,Glidden city,0.99,0,0.006,0.001,0.006
IA,Goldfield city,0.954,0.003,0.005,0,0.03
IA,Goodell city,0.95,0,0,0,0.115
IA,Goose Lake city,0.992,0,0,0,0
IA,Gowrie city,0.977,0.01,0.001,0.002,0.016
IA,Graettinger city,0.985,0.004,0.001,0,0.008
IA,Graf city,1,0,0,0,0.013
IA,Grafton city,0.988,0,0,0.004,0
IA,Grand Junction city,0.966,0.006,0.012,0.007,0.018
IA,Grand Mound city,0.989,0,0,0.003,0.017
IA,Grand River city,0.966,0,0.004,0,0.034
IA,Grandview city,0.923,0.009,0.002,0.009,0.085
IA,Granger city,0.985,0.003,0,0.004,0.015
IA,Grant city,1,0,0,0,0
IA,Granville city,0.897,0.006,0,0.003,0.131
IA,Gravity city,0.995,0,0,0,0.011
IA,Gray city,0.984,0,0,0,0
IA,Greeley city,1,0,0,0,0
IA,Greene city,0.986,0.002,0.002,0.003,0.004
IA,Greenfield city,0.98,0.002,0.001,0.004,0.022
IA,Green Mountain CDP,0.968,0,0,0.008,0.008
IA,Greenville city,0.96,0,0.04,0,0.027
IA,Grimes city,0.95,0.011,0.002,0.017,0.025
IA,Grinnell city,0.919,0.02,0.003,0.027,0.032
IA,Griswold city,0.975,0.01,0.003,0.001,0.011
IA,Grundy Center city,0.986,0.002,0,0.001,0.004
IA,Gruver city,0.979,0.021,0,0,0.011
IA,Guernsey city,1,0,0,0,0.032
IA,Guthrie Center city,0.96,0.001,0.004,0.002,0.036
IA,Guttenberg city,0.983,0.002,0,0.005,0.013
IA,Halbur city,0.996,0,0,0,0
IA,Hamburg city,0.942,0.008,0.005,0.003,0.062
IA,Hamilton city,1,0,0,0,0.015
IA,Hampton city,0.891,0.006,0.002,0.003,0.215
IA,Hancock city,0.959,0,0.005,0,0.026
IA,Hanlontown city,0.973,0.009,0,0.004,0.049
IA,Hansell city,0.99,0,0,0.01,0
IA,Harcourt city,0.98,0.003,0.003,0.003,0.013
IA,Hardy city,0.936,0,0,0,0
IA,Harlan city,0.97,0.005,0.004,0.006,0.019
IA,Harper city,0.947,0,0.009,0,0.053
IA,Harpers Ferry city,0.997,0.003,0,0,0
IA,Harris city,0.976,0,0.012,0,0.012
IA,Hartford city,0.974,0.006,0.001,0.005,0.025
IA,Hartley city,0.958,0,0.001,0.004,0.044
IA,Hartwick city,0.977,0,0,0,0
IA,Harvey city,0.974,0,0.004,0.013,0.009
IA,Hastings city,0.993,0,0,0,0.013
IA,Havelock city,0.928,0,0.014,0.007,0.065
IA,Haverhill city,0.994,0,0,0,0
IA,Hawarden city,0.868,0.005,0.009,0.003,0.2
IA,Hawkeye city,0.991,0.007,0.002,0,0.002
IA,Hayesville city,1,0,0,0,0
IA,Hayfield CDP,1,0,0,0,0
IA,Hazleton city,0.968,0.005,0.016,0,0.016
IA,Hedrick city,0.983,0.012,0,0,0.014
IA,Henderson city,0.995,0,0,0,0.005
IA,Hepburn city,1,0,0,0,0
IA,Hiawatha city,0.889,0.051,0.002,0.022,0.023
IA,High Amana CDP,0.983,0,0,0,0
IA,Hills city,0.933,0.003,0.007,0.013,0.04
IA,Hillsboro city,0.989,0.006,0,0,0.033
IA,Hinton city,0.988,0.003,0.002,0.002,0.006
IA,Holiday Lake CDP,0.982,0.005,0.012,0.002,0.009
IA,Holland city,0.996,0,0,0,0
IA,Holstein city,0.977,0.001,0.002,0.001,0.02
IA,Holy Cross city,0.995,0,0,0,0.011
IA,Homestead CDP,0.98,0.007,0,0,0.014
IA,Hopkinton city,0.99,0,0,0,0.008
IA,Hornick city,0.982,0.004,0,0.004,0.009
IA,Hospers city,0.974,0.009,0.003,0.004,0.021
IA,Houghton city,1,0,0,0,0
IA,Hubbard city,0.976,0.001,0.001,0.004,0.028
IA,Hudson city,0.981,0.003,0,0.005,0.016
IA,Hull city,0.926,0.004,0.006,0.007,0.091
IA,Humboldt city,0.949,0.006,0.001,0.004,0.05
IA,Humeston city,0.97,0.002,0.004,0.004,0.006
IA,Hutchins CDP,0.893,0.036,0,0,0
IA,Huxley city,0.956,0.01,0.002,0.005,0.022
IA,Ida Grove city,0.982,0.003,0.002,0.001,0.008
IA,Imogene city,0.986,0,0,0,0.014
IA,Independence city,0.976,0.003,0.001,0.007,0.012
IA,Indianola city,0.969,0.005,0.002,0.007,0.015
IA,Inwood city,0.979,0,0.001,0.001,0.014
IA,Ionia city,0.997,0,0,0,0.007
IA,Iowa City city,0.825,0.058,0.002,0.069,0.053
IA,Iowa Falls city,0.94,0.027,0.004,0.007,0.039
IA,Ireton city,0.979,0.002,0,0,0.036
IA,Irvington CDP,1,0,0,0,0
IA,Irwin city,0.988,0,0,0,0.012
IA,Jackson Junction city,0.983,0,0,0.017,0
IA,Jacksonville CDP,0.833,0,0,0,0.167
IA,Jamaica city,0.951,0,0,0,0.063
IA,Janesville city,0.984,0.006,0,0.002,0.003
IA,Jefferson city,0.979,0.001,0.001,0.002,0.023
IA,Jesup city,0.982,0.003,0,0.002,0.014
IA,Jewell Junction city,0.952,0.001,0,0.012,0.044
IA,Johnston city,0.91,0.022,0.001,0.046,0.02
IA,Joice city,0.968,0,0.005,0,0
IA,Jolley city,1,0,0,0,0.049
IA,Kalona city,0.972,0.004,0.003,0.002,0.02
IA,Kamrar city,0.965,0,0,0.02,0
IA,Kanawha city,0.968,0.008,0.006,0.003,0.052
IA,Kellerton city,0.962,0,0.01,0,0.022
IA,Kelley city,0.984,0.006,0,0.003,0.01
IA,Kellogg city,0.982,0.002,0.002,0.005,0.022
IA,Kensett city,0.981,0,0,0.011,0.008
IA,Kent CDP,1,0,0,0,0
IA,Keokuk city,0.919,0.04,0.002,0.008,0.018
IA,Keomah Village city,1,0,0,0,0.036
IA,Keosauqua city,0.976,0.004,0,0.009,0.011
IA,Keota city,0.983,0.004,0,0.002,0.002
IA,Keswick city,0.976,0,0.012,0,0
IA,Keystone city,0.992,0,0.005,0.002,0.006
IA,Kimballton city,0.978,0,0.003,0.009,0
IA,Kingsley city,0.982,0.002,0.001,0.001,0.013
IA,Kinross city,1,0,0,0,0
IA,Kirkman city,0.969,0,0,0,0.031
IA,Kirkville city,0.976,0,0.006,0,0.018
IA,Kiron city,0.914,0,0,0,0.161
IA,Klemme city,0.986,0.004,0,0.002,0.004
IA,Knierim city,0.967,0,0,0,0.05
IA,Knoxville city,0.969,0.011,0.003,0.005,0.019
IA,Lacona city,0.997,0,0,0,0.006
IA,Ladora city,0.968,0.025,0,0,0.011
IA,Lake City city,0.984,0.002,0.001,0.002,0.012
IA,Lake Mills city,0.967,0.003,0,0.01,0.036
IA,Lake Panorama CDP,0.985,0,0.002,0.003,0.016
IA,Lake Park city,0.986,0,0,0,0.01
IA,Lakeside city,0.767,0.022,0.002,0.057,0.32
IA,Lake View city,0.993,0.003,0,0,0.001
IA,Lakota city,0.941,0,0.008,0,0.059
IA,Lambs Grove city,0.959,0,0,0,0.029
IA,Lamoni city,0.886,0.057,0.006,0.011,0.045
IA,Lamont city,0.983,0.002,0.004,0.004,0.004
IA,La Motte city,0.962,0,0,0,0
IA,Lanesboro city,0.959,0.008,0,0.008,0.033
IA,Lansing city,0.988,0.001,0.002,0.004,0.006
IA,La Porte City city,0.978,0.008,0.001,0.002,0.01
IA,Larchwood city,0.986,0,0.001,0.002,0.012
IA,Larrabee city,0.977,0.023,0,0,0.045
IA,Latimer city,0.915,0.002,0.004,0.002,0.201
IA,Laurel city,0.987,0.004,0,0.004,0.021
IA,Laurens city,0.975,0.003,0.004,0.003,0.014
IA,Lawler city,0.927,0.002,0,0,0.089
IA,Lawton city,0.988,0.002,0.001,0.002,0.004
IA,Leando CDP,1,0,0,0,0
IA,Le Claire city,0.962,0.01,0.001,0.004,0.03
IA,Ledyard city,0.992,0,0,0,0.008
IA,Le Grand city,0.971,0.001,0.004,0.001,0.035
IA,Lehigh city,0.986,0.002,0,0,0.002
IA,Leighton city,0.994,0,0,0,0
IA,Leland city,0.934,0.01,0.01,0.014,0.055
IA,Le Mars city,0.942,0.005,0.003,0.007,0.054
IA,Lenox city,0.913,0.004,0,0.004,0.198
IA,Leon city,0.981,0.007,0.003,0.006,0.02
IA,Le Roy city,0.933,0,0,0,0
IA,Lester city,0.935,0.003,0.007,0.003,0.054
IA,Letts city,0.948,0,0.005,0,0.052
IA,Lewis city,0.968,0,0.012,0,0.014
IA,Libertyville city,0.978,0,0.003,0,0.013
IA,Lidderdale city,0.994,0,0,0.006,0
IA,Lime Springs city,0.994,0,0.002,0.004,0.004
IA,Lincoln city,0.994,0,0,0,0.043
IA,Linden city,0.99,0.005,0,0,0.01
IA,Lineville city,0.991,0,0,0.005,0
IA,Linn Grove city,0.968,0.006,0,0,0.084
IA,Lisbon city,0.978,0.005,0.002,0.001,0.012
IA,Liscomb city,0.93,0,0,0.03,0.02
IA,Little Cedar CDP,1,0,0,0,0
IA,Little Rock city,0.998,0,0,0,0.007
IA,Little Sioux city,1,0,0,0,0.024
IA,Livermore city,0.969,0.005,0.003,0,0.023
IA,Lockridge city,0.966,0,0,0,0.045
IA,Logan city,0.986,0.001,0.001,0.004,0.008
IA,Lohrville city,0.976,0,0.005,0,0.014
IA,Lone Rock city,0.993,0,0,0,0.014
IA,Lone Tree city,0.948,0.007,0.002,0.005,0.04
IA,Long Grove city,0.978,0,0,0.002,0.033
IA,Lorimor city,0.981,0.003,0.008,0,0.008
IA,Lost Nation city,0.991,0.009,0,0,0.013
IA,Loveland CDP,1,0,0,0,0
IA,Lovilia city,0.994,0.002,0.002,0,0.007
IA,Lowden city,0.991,0.001,0,0,0.008
IA,Low Moor city,0.976,0.007,0,0,0.003
IA,Luana city,0.993,0,0,0,0.056
IA,Lucas city,0.954,0.005,0,0,0.019
IA,Luther city,0.984,0.008,0,0.008,0.016
IA,Lu Verne city,0.969,0,0.015,0,0.038
IA,Luxemburg city,1,0,0,0,0.017
IA,Luzerne city,0.917,0.021,0,0,0.052
IA,Lynnville city,1,0,0,0,0.008
IA,Lytton city,0.99,0,0,0,0.022
IA,McCallsburg city,0.976,0.006,0,0,0.012
IA,McCausland city,0.979,0,0,0,0.017
IA,McClelland city,0.94,0.013,0,0,0.02
IA,Macedonia city,0.976,0,0,0.008,0.004
IA,McGregor city,0.969,0.001,0.003,0.005,0.017
IA,McIntire city,1,0,0,0,0.016
IA,Macksburg city,0.965,0,0.018,0,0
IA,Madrid city,0.986,0.002,0.001,0.001,0.008
IA,Magnolia city,1,0,0,0,0
IA,Maharishi Vedic City city,0.95,0.023,0,0.015,0.019
IA,Malcom city,0.986,0.003,0.003,0,0.01
IA,Mallard city,0.964,0,0.004,0,0.044
IA,Maloy city,1,0,0,0,0
IA,Malvern city,0.977,0.003,0.004,0.002,0.008
IA,Manchester city,0.977,0.006,0.003,0.004,0.009
IA,Manilla city,0.979,0,0,0.001,0.026
IA,Manly city,0.977,0.005,0.002,0.003,0.025
IA,Manning city,0.981,0.007,0.004,0.003,0.011
IA,Manson city,0.992,0,0.002,0,0.008
IA,Mapleton city,0.958,0.009,0.01,0.002,0.016
IA,Maquoketa city,0.95,0.007,0.004,0.003,0.018
IA,Marathon city,0.987,0,0,0,0.025
IA,Marble Rock city,0.99,0,0,0.003,0
IA,Marcus city,0.98,0,0.013,0.001,0.007
IA,Marengo city,0.973,0.006,0.006,0.004,0.028
IA,Marion city,0.937,0.02,0.003,0.016,0.02
IA,Marne city,0.992,0,0,0,0
IA,Marquette city,0.987,0,0.008,0.003,0.005
IA,Marshalltown city,0.848,0.022,0.006,0.017,0.241
IA,Martelle city,0.976,0,0,0.016,0.008
IA,Martensdale city,0.985,0,0,0,0.019
IA,Martinsburg city,0.991,0.009,0,0,0
IA,Marysville city,0.939,0,0,0,0
IA,Mason City city,0.938,0.018,0.003,0.009,0.051
IA,Masonville city,0.969,0,0,0,0.008
IA,Massena city,0.994,0.003,0,0,0.028
IA,Matlock city,1,0,0,0,0
IA,Maurice city,0.956,0.004,0,0,0.058
IA,Maxwell city,0.986,0.003,0.002,0.004,0.004
IA,Maynard city,0.986,0.002,0,0,0.025
IA,Maysville city,0.989,0,0,0.006,0
IA,Mechanicsville city,0.978,0.003,0.002,0.003,0.017
IA,Mediapolis city,0.985,0.003,0.001,0,0.01
IA,Melbourne city,0.986,0.004,0,0,0.01
IA,Melcher-Dallas city,0.977,0.002,0.002,0,0.021
IA,Melrose city,0.964,0,0,0.009,0
IA,Melvin city,0.977,0,0,0,0.014
IA,Menlo city,0.972,0.003,0,0.006,0.014
IA,Meriden city,1,0,0,0,0
IA,Merrill city,0.979,0,0.007,0.005,0.009
IA,Meservey city,0.992,0,0,0,0.031
IA,Meyer CDP,1,0,0,0,0
IA,Middle Amana CDP,0.985,0.005,0,0.007,0.007
IA,Middletown city,0.953,0.016,0,0.016,0.013
IA,Miles city,0.975,0.004,0.004,0,0.018
IA,Milford city,0.98,0.001,0.001,0.006,0.012
IA,Miller CDP,1,0,0,0,0
IA,Millersburg city,0.987,0,0,0,0.019
IA,Millerton city,0.956,0.022,0.022,0,0
IA,Millville city,1,0,0,0,0
IA,Milo city,0.975,0.003,0.004,0.001,0.013
IA,Milton city,0.982,0.002,0,0.002,0.029
IA,Minburn city,0.981,0.003,0.008,0.003,0.011
IA,Minden city,0.987,0.002,0.002,0.005,0.005
IA,Mineola CDP,0.964,0.036,0,0,0
IA,Mingo city,0.977,0.007,0,0,0.01
IA,Missouri Valley city,0.976,0.003,0.003,0.001,0.021
IA,Mitchell city,1,0,0,0,0
IA,Mitchellville city,0.917,0.058,0.008,0.005,0.024
IA,Modale city,0.982,0,0.007,0.007,0.004
IA,Mona CDP,1,0,0,0,0
IA,Mondamin city,0.978,0.002,0,0.005,0.01
IA,Monmouth city,0.98,0.007,0,0.007,0.02
IA,Monona city,0.983,0.005,0.001,0.003,0.01
IA,Monroe city,0.987,0.003,0.001,0.005,0.006
IA,Montezuma city,0.982,0.004,0.003,0.001,0.014
IA,Monticello city,0.986,0.003,0,0.003,0.013
IA,Montour city,0.944,0,0.044,0,0.032
IA,Montrose city,0.982,0.004,0,0.003,0.006
IA,Moorhead city,0.982,0.004,0,0.009,0.009
IA,Moorland city,0.994,0,0,0,0.018
IA,Moravia city,0.985,0,0.002,0.002,0.012
IA,Morley city,0.991,0,0,0,0.009
IA,Morning Sun city,0.983,0.005,0.001,0,0.016
IA,Morrison city,0.926,0.021,0,0.011,0
IA,Moulton city,0.983,0,0.003,0,0.008
IA,Mount Auburn city,0.98,0,0.013,0,0.007
IA,Mount Ayr city,0.981,0.001,0.001,0.007,0.016
IA,Mount Pleasant city,0.857,0.043,0.004,0.044,0.067
IA,Mount Sterling city,1,0,0,0,0
IA,Mount Union city,1,0,0,0,0.037
IA,Mount Vernon city,0.95,0.009,0.002,0.017,0.019
IA,Moville city,0.967,0.004,0.006,0.004,0.019
IA,Murray city,0.981,0.005,0,0,0.029
IA,Muscatine city,0.878,0.023,0.005,0.008,0.166
IA,Mystic city,0.988,0.002,0,0,0.019
IA,Nashua city,0.986,0.004,0,0.005,0.001
IA,Nemaha city,0.882,0.035,0,0.012,0.129
IA,Neola city,0.988,0.002,0.001,0.001,0.027
IA,Nevada city,0.943,0.013,0.003,0.01,0.034
IA,New Albin city,0.971,0.004,0.015,0.004,0.004
IA,Newell city,0.955,0.003,0.001,0.003,0.042
IA,Newhall city,0.983,0.01,0.001,0.003,0.01
IA,New Hampton city,0.96,0.003,0.001,0.005,0.039
IA,New Hartford city,0.981,0,0.004,0.002,0.016
IA,New Haven CDP,0.989,0,0,0,0.033
IA,New Liberty city,0.927,0.044,0,0,0
IA,New London city,0.965,0.017,0.003,0.004,0.009
IA,New Market city,0.981,0,0.002,0.002,0.002
IA,New Providence city,0.961,0.009,0.009,0,0.018
IA,New Sharon city,0.991,0,0.004,0,0.003
IA,Newton city,0.967,0.007,0.003,0.006,0.017
IA,New Vienna city,0.988,0.002,0,0.007,0.002
IA,New Virginia city,0.994,0.002,0.002,0,0.008
IA,Nichols city,0.874,0.011,0,0.021,0.163
IA,Nodaway city,0.982,0,0,0,0
IA,Nora Springs city,0.991,0.001,0,0.002,0.014
IA,Northboro city,1,0,0,0,0.034
IA,North Buena Vista city,0.983,0,0,0.008,0
IA,North English city,0.992,0.003,0,0,0.007
IA,North Liberty city,0.902,0.045,0.002,0.018,0.035
IA,North Washington city,0.974,0.017,0,0,0.026
IA,Northwood city,0.973,0.005,0.002,0.001,0.023
IA,Norwalk city,0.969,0.005,0.002,0.006,0.025
IA,Norway city,0.98,0.006,0.004,0.002,0.004
IA,Numa city,1,0,0,0,0
IA,Oakland city,0.967,0.005,0.002,0,0.043
IA,Oakland Acres city,0.981,0.006,0,0.013,0.032
IA,Oakville city,0.977,0,0,0,0.029
IA,Ocheyedan city,0.957,0.002,0.004,0.002,0.037
IA,Odebolt city,0.985,0.002,0.002,0.001,0.018
IA,Oelwein city,0.961,0.009,0.001,0.006,0.029
IA,Ogden city,0.989,0,0.003,0,0.011
IA,Okoboji city,0.988,0.001,0,0.001,0.026
IA,Olds city,0.961,0.004,0.017,0,0.013
IA,Olin city,0.973,0.011,0.001,0.01,0.016
IA,Ollie city,0.991,0,0,0.005,0
IA,Onawa city,0.964,0.004,0.017,0.003,0.012
IA,Onslow city,0.959,0.025,0,0.005,0.01
IA,Orange City city,0.932,0.006,0.003,0.014,0.07
IA,Orchard city,0.958,0.014,0.028,0,0
IA,Orient city,0.98,0,0.002,0,0.022
IA,Orleans city,0.99,0.002,0,0.005,0.003
IA,Osage city,0.981,0.002,0.001,0.003,0.013
IA,Osceola city,0.91,0.006,0.004,0.006,0.176
IA,Oskaloosa city,0.933,0.02,0.003,0.017,0.024
IA,Ossian city,0.985,0,0,0.002,0.033
IA,Osterdock city,0.949,0,0,0,0.034
IA,Otho city,0.976,0.006,0.004,0,0.02
IA,Oto city,0.963,0,0.009,0.009,0.093
IA,Otranto CDP,0.926,0,0,0,0
IA,Ottosen city,0.909,0,0,0,0.036
IA,Ottumwa city,0.902,0.019,0.006,0.009,0.113
IA,Owasa city,0.907,0,0,0,0
IA,Oxford city,0.929,0.033,0,0.015,0.024
IA,Oxford Junction city,0.99,0,0.006,0.004,0
IA,Oyens city,1,0,0,0,0
IA,Pacific Junction city,0.96,0,0.006,0,0.021
IA,Packwood city,0.966,0.01,0,0,0.005
IA,Palmer city,0.958,0.006,0.012,0,0.012
IA,Palo city,0.976,0.005,0.001,0.003,0.014
IA,Panama city,0.964,0,0,0,0.018
IA,Panora city,0.985,0.002,0,0.004,0.014
IA,Panorama Park city,0.969,0,0.023,0.008,0.008
IA,Parkersburg city,0.99,0.002,0,0.002,0.01
IA,Park View CDP,0.942,0.023,0,0.008,0.037
IA,Parnell city,0.974,0,0.021,0,0.005
IA,Paton city,0.962,0.017,0.021,0,0.03
IA,Patterson city,0.992,0,0,0,0
IA,Paullina city,0.987,0.008,0,0,0.012
IA,Pella city,0.95,0.007,0.002,0.023,0.017
IA,Peosta city,0.969,0.02,0.001,0.001,0.009
IA,Percival CDP,0.908,0.011,0,0,0.092
IA,Perry city,0.791,0.018,0.005,0.008,0.35
IA,Persia city,0.978,0.003,0.019,0,0.003
IA,Peterson city,0.994,0,0,0,0.021
IA,Pierson city,0.945,0.008,0.019,0.005,0.011
IA,Pilot Mound city,0.96,0.023,0.006,0,0
IA,Pioneer city,0.957,0.043,0,0,0
IA,Pisgah city,0.976,0,0.008,0,0.032
IA,Plainfield city,0.979,0.005,0,0,0.005
IA,Plano city,0.9,0.086,0,0,0.086
IA,Pleasant Hill city,0.91,0.027,0.003,0.025,0.045
IA,Pleasanton city,1,0,0,0,0
IA,Pleasant Plain city,1,0,0,0,0.011
IA,Pleasantville city,0.978,0.003,0.001,0.007,0.017
IA,Plover city,0.987,0,0,0,0
IA,Plymouth city,0.974,0.005,0.003,0.003,0.024
IA,Pocahontas city,0.983,0.003,0.001,0.001,0.013
IA,Polk City city,0.972,0.008,0.002,0.004,0.009
IA,Pomeroy city,0.968,0.005,0.011,0.003,0.032
IA,Popejoy city,0.987,0,0,0,0
IA,Portland CDP,1,0,0,0,0
IA,Portsmouth city,0.985,0.005,0,0,0
IA,Postville city,0.77,0.044,0.006,0.01,0.32
IA,Prairieburg city,1,0,0,0,0.017
IA,Prairie City city,0.964,0.005,0.002,0.01,0.015
IA,Prescott city,0.988,0,0.008,0.004,0
IA,Preston city,0.986,0.005,0,0,0.006
IA,Primghar city,0.965,0.003,0.003,0.004,0.022
IA,Princeton city,0.971,0.003,0.002,0,0.037
IA,Promise City city,0.973,0,0,0.018,0.009
IA,Protivin city,0.993,0,0,0.004,0.007
IA,Pulaski city,1,0,0,0,0.008
IA,Quasqueton city,0.971,0.009,0,0.002,0.007
IA,Quimby city,0.994,0,0,0.006,0.013
IA,Radcliffe city,0.961,0,0.002,0,0.057
IA,Rake city,0.911,0,0.004,0,0.196
IA,Ralston city,1,0,0,0,0
IA,Randalia city,0.941,0,0,0,0
IA,Randall city,0.994,0,0,0.006,0
IA,Randolph city,0.982,0.006,0,0,0.006
IA,Rathbun city,0.989,0,0,0,0.011
IA,Raymond city,0.971,0.009,0,0.005,0.01
IA,Readlyn city,0.98,0.005,0.001,0.005,0.012
IA,Reasnor city,0.993,0,0,0,0.007
IA,Redding city,1,0,0,0,0
IA,Redfield city,0.959,0.004,0.001,0,0.04
IA,Red Oak city,0.963,0.003,0.004,0.002,0.042
IA,Reinbeck city,0.987,0.002,0.001,0.001,0.011
IA,Rembrandt city,0.97,0.005,0,0,0.039
IA,Remsen city,0.982,0.001,0.005,0.002,0.019
IA,Renwick city,0.979,0.004,0,0.004,0.012
IA,Rhodes city,0.967,0,0.003,0.003,0.023
IA,Riceville city,0.977,0,0.001,0,0.022
IA,Richland city,0.985,0.003,0.007,0,0.003
IA,Rickardsville city,0.984,0.011,0,0,0
IA,Ricketts city,0.938,0,0,0,0.103
IA,Ridgeway city,0.997,0,0,0,0
IA,Rinard city,1,0,0,0,0
IA,Ringsted city,0.976,0,0.007,0,0.014
IA,Rippey city,0.979,0,0,0,0.058
IA,Riverdale city,0.985,0.002,0.005,0,0.015
IA,Riverside city,0.978,0.008,0.003,0,0.012
IA,River Sioux CDP,0.983,0,0.017,0,0
IA,Riverton city,0.957,0.007,0,0.007,0.036
IA,Robins city,0.956,0.007,0.001,0.021,0.013
IA,Rochester CDP,0.992,0,0,0,0.008
IA,Rock Falls city,0.987,0,0,0.006,0
IA,Rockford city,0.991,0.002,0.001,0.001,0.001
IA,Rock Rapids city,0.982,0.002,0.001,0.001,0.018
IA,Rock Valley city,0.922,0.003,0,0.004,0.122
IA,Rockwell city,0.986,0.001,0,0.001,0.016
IA,Rockwell City city,0.984,0.002,0.001,0.004,0.004
IA,Rodman city,1,0,0,0,0
IA,Rodney city,0.9,0,0.083,0,0
IA,Roland city,0.984,0.002,0.003,0.001,0.01
IA,Rolfe city,0.973,0.005,0,0,0.024
IA,Rome city,0.974,0,0,0,0.06
IA,Rose Hill city,0.982,0,0,0.006,0
IA,Roseville CDP,0.98,0,0,0.02,0.143
IA,Rossie city,0.957,0,0,0,0.057
IA,Rowan city,1,0,0,0,0.095
IA,Rowley city,0.996,0,0.004,0,0
IA,Royal city,0.955,0.002,0,0,0.027
IA,Rudd city,0.959,0,0.005,0,0.049
IA,Runnells city,0.97,0.002,0.008,0.004,0.014
IA,Russell city,0.969,0.004,0.022,0,0.02
IA,Ruthven city,0.991,0,0.005,0,0.008
IA,Rutland city,0.992,0,0,0,0
IA,Ryan city,0.992,0,0,0,0
IA,Sabula city,0.991,0.002,0.002,0,0.007
IA,Sac City city,0.983,0.001,0,0.002,0.002
IA,Sageville city,0.992,0,0.008,0,0.008
IA,St. Ansgar city,0.992,0,0,0.003,0.008
IA,St. Anthony city,0.922,0.01,0.029,0.01,0.059
IA,St. Benedict CDP,1,0,0,0,0
IA,St. Charles city,0.971,0.017,0,0,0.015
IA,St. Donatus city,0.97,0,0,0,0.03
IA,St. Joseph CDP,0.934,0,0,0,0.049
IA,St. Lucas city,1,0,0,0,0
IA,St. Marys city,0.992,0,0,0,0.016
IA,St. Olaf city,1,0,0,0,0
IA,St. Paul city,0.984,0,0,0.008,0
IA,Salem city,0.971,0.005,0.003,0.008,0.026
IA,Salix city,0.95,0,0.006,0.017,0.011
IA,Sanborn city,0.976,0.005,0.001,0.001,0.023
IA,Sandyville city,0.98,0.02,0,0,0
IA,Saylorville CDP,0.973,0.009,0.002,0.009,0.014
IA,Scarville city,0.972,0,0.014,0.014,0
IA,Schaller city,0.935,0.001,0.001,0.003,0.096
IA,Schleswig city,0.929,0.006,0,0.001,0.069
IA,Scranton city,0.964,0,0,0,0.029
IA,Searsboro city,0.993,0,0,0,0
IA,Sergeant Bluff city,0.931,0.011,0.008,0.021,0.033
IA,Sexton CDP,1,0,0,0,0
IA,Seymour city,0.987,0,0,0.004,0.016
IA,Shambaugh city,1,0,0,0,0.016
IA,Shannon City city,0.986,0,0,0,0.014
IA,Sharpsburg city,0.989,0,0,0,0.056
IA,Sheffield city,0.982,0.002,0.003,0.005,0.009
IA,Shelby city,0.986,0.002,0.002,0.002,0.009
IA,Sheldahl city,0.987,0,0.003,0,0.009
IA,Sheldon city,0.937,0.006,0,0.011,0.065
IA,Shell Rock city,0.975,0,0.004,0.002,0.012
IA,Shellsburg city,0.967,0.007,0.01,0.001,0.005
IA,Shenandoah city,0.964,0.003,0.002,0.005,0.04
IA,Sherrill city,0.949,0.023,0,0,0.028
IA,Shueyville city,0.971,0.003,0.002,0.014,0.01
IA,Sibley city,0.931,0.003,0.003,0.005,0.114
IA,Sidney city,0.968,0.004,0.005,0.002,0.016
IA,Sigourney city,0.982,0.007,0.002,0.003,0.004
IA,Silver City city,0.959,0,0.008,0,0.012
IA,Sioux Center city,0.916,0.004,0.003,0.012,0.131
IA,Sioux City city,0.806,0.029,0.026,0.027,0.164
IA,Sioux Rapids city,0.943,0.006,0.001,0.004,0.084
IA,Slater city,0.985,0.003,0.002,0,0.013
IA,Sloan city,0.969,0,0.022,0.001,0.018
IA,Smithland city,0.973,0,0,0,0.031
IA,Soldier city,0.948,0.006,0.011,0,0.029
IA,Solon city,0.978,0.003,0,0.003,0.015
IA,Somers city,0.956,0,0,0.009,0
IA,South Amana CDP,0.981,0,0,0,0
IA,South English city,0.991,0,0,0,0.019
IA,Spencer city,0.96,0.005,0.003,0.007,0.035
IA,Spillville city,0.965,0.003,0.003,0,0.033
IA,Spirit Lake city,0.977,0.002,0.002,0.006,0.013
IA,Spragueville city,1,0,0,0,0.025
IA,Springbrook city,1,0,0,0,0
IA,Spring Hill city,0.984,0.016,0,0,0
IA,Springville city,0.989,0.001,0.001,0.002,0.003
IA,Stacyville city,0.974,0.008,0.002,0.004,0.012
IA,Stanhope city,0.964,0.002,0.002,0.002,0.014
IA,Stanley city,0.904,0.008,0.016,0,0.016
IA,Stanton city,0.999,0,0,0,0.001
IA,Stanwood city,0.971,0.003,0,0.006,0.022
IA,State Center city,0.967,0.005,0.001,0.003,0.035
IA,Steamboat Rock city,0.981,0,0,0.006,0.077
IA,Stockport city,0.97,0,0.003,0.01,0.003
IA,Stockton city,0.929,0.015,0.005,0,0.005
IA,Stone City CDP,0.979,0.01,0,0.01,0
IA,Storm Lake city,0.684,0.044,0.004,0.098,0.361
IA,Story City city,0.972,0.003,0.001,0.004,0.031
IA,Stout city,0.996,0,0,0.004,0.009
