Geographic Area,City,poverty_rate
AL,Gulf Shores city,0.166
AL,Guntersville city,0.162
AL,Gurley town,0.308
AL,Gu-Win town,0.12
AL,Hackleburg town,0.257
AL,Hackneyville CDP,0.178
AL,Haleburg town,0.083
AL,Haleyville city,0.268
AL,Hamilton city,0.185
AL,Hammondville town,0.08
AL,Hanceville city,0.258
AL,Harpersville town,0.188
AL,Hartford city,0.367
AL,Hartselle city,0.069
AL,Harvest CDP,0.055
AL,Hatton CDP,0
AL,Hayden town,0.079
AL,Hayneville town,0.444
AL,Hazel Green CDP,0.149
AL,Headland city,0.131
AL,Heath town,0.325
AL,Heflin city,0.226
AL,Helena city,0.021
AL,Henagar city,0.194
AL,Highland Lake town,0.092
AL,Highland Lakes CDP,0.02
AL,Hillsboro town,0.176
AL,Hissop CDP,0.232
AL,Hobson CDP,0
AL,Hobson City town,0.413
AL,Hodges town,0.269
AL,Hokes Bluff city,0.137
AL,Hollins CDP,0.244
AL,Hollis Crossroads CDP,0.29
AL,Holly Pond town,0.19
AL,Hollywood town,0.203
AL,Holt CDP,0.464
AL,Holtville CDP,0.111
AL,Homewood city,0.127
AL,Hoover city,0.06
AL,Horn Hill town,0.102
AL,Hueytown city,0.143
AL,Huguley CDP,0.163
AL,Huntsville city,0.182
AL,Hurtsboro town,0.46
AL,Hytop town,0.147
AL,Ider town,0.154
AL,Indian Springs Village city,0.044
AL,Irondale city,0.205
AL,Ivalee CDP,0
AL,Jackson city,0.247
AL,Jacksons' Gap town,0.261
AL,Jacksonville city,0.312
AL,Jasper city,0.223
AL,Jemison city,0.249
AL,Joppa CDP,0
AL,Kansas town,0.253
AL,Kellyton town,0.298
AL,Kennedy town,0.109
AL,Killen town,0.177
AL,Kimberly city,0.063
AL,Kinsey town,0.162
AL,Kinston town,0.302
AL,Ladonia CDP,0.26
AL,La Fayette city,0.248
AL,Lakeview town,0.135
AL,Lake View town,0.022
AL,Lanett city,0.298
AL,Langston town,0.246
AL,Leeds city,0.154
AL,Leesburg town,0.18
AL,Leighton town,0.256
AL,Leroy CDP,0.067
AL,Lester town,0.161
AL,Level Plains town,0.111
AL,Lexington town,0.213
AL,Libertyville town,0.048
AL,Lillian CDP,0.116
AL,Lincoln city,0.127
AL,Linden city,0.251
AL,Lineville city,0.129
AL,Lipscomb city,0.306
AL,Lisman town,0.449
AL,Littleville town,0.077
AL,Livingston city,0.552
AL,Loachapoka town,0.318
AL,Lockhart town,0.149
AL,Locust Fork town,0.142
AL,Lookout Mountain CDP,0.149
AL,Louisville town,0.118
AL,Lowndesboro town,0.034
AL,Loxley town,0.2
AL,Luverne city,0.203
AL,Lynn town,0.279
AL,McDonald Chapel CDP,0.626
AL,Macedonia CDP,0.042
AL,McIntosh town,0.137
AL,McKenzie town,0.225
AL,McMullen town,0.4
AL,Madison city,0.067
AL,Madrid town,0.149
AL,Magnolia Springs town,0.053
AL,Malcolm CDP,0.637
AL,Malvern town,0.198
AL,Maplesville town,0.291
AL,Marbury CDP,0.099
AL,Margaret town,0.101
AL,Marion city,0.33
AL,Maytown town,0.092
AL,Meadowbrook CDP,0.065
AL,Megargel CDP,0.469
AL,Memphis town,0.605
AL,Mentone town,0.109
AL,Meridianville CDP,0.154
AL,Midfield city,0.201
AL,Midland City town,0.315
AL,Midway town,0.431
AL,Mignon CDP,0.26
AL,Millbrook city,0.116
AL,Millerville CDP,0.088
AL,Millport town,0.224
AL,Millry town,0.26
AL,Minor CDP,0.108
AL,Mobile city,0.233
AL,Monroeville city,0.367
AL,Montevallo city,0.255
AL,Montgomery city,0.241
AL,Moody city,0.099
AL,Moores Mill CDP,0.111
AL,Mooresville town,0
AL,Morris town,0.058
AL,Morrison Crossroads CDP,0.095
AL,Mosses town,0.558
AL,Moulton city,0.243
AL,Moundville town,0.187
AL,Mountain Brook city,0.03
AL,Mount Olive CDP (Coosa County),0.017
AL,Mount Olive CDP (Jefferson County),0.11
AL,Mount Vernon town,0.313
AL,Movico CDP,0.129
AL,Mulga town,0.305
AL,Munford town,0.188
AL,Muscle Shoals city,0.107
AL,Myrtlewood town,0.07
AL,Nanafalia CDP,0.297
AL,Nances Creek CDP,0
AL,Napier Field town,0.217
AL,Natural Bridge town,0.023
AL,Nauvoo town,0.262
AL,Nectar town,0.183
AL,Needham town,0.019
AL,Newbern town,0.35
AL,New Brockton town,0.209
AL,New Hope city,0.148
AL,New Market CDP,0
AL,New Site town,0.096
AL,Newton town,0.177
AL,New Union CDP,0.279
AL,Newville town,0.21
AL,North Courtland town,0.224
AL,North Johns town,0.117
AL,Northport city,0.137
AL,Notasulga town,0.295
AL,Oak Grove town,0.131
AL,Oak Hill town,0.727
AL,Oakman town,0.214
AL,Odenville town,0.162
AL,Ohatchee town,0.148
AL,Oneonta city,0.128
AL,Onycha town,0.234
AL,Opelika city,0.23
AL,Opp city,0.259
AL,Orange Beach city,0.105
AL,Orrville town,0.373
AL,Our Town CDP,0
AL,Owens Cross Roads town,0.095
AL,Oxford city,0.117
AL,Ozark city,0.231
AL,Paint Rock town,0.356
AL,Panola CDP,0.406
AL,Parrish town,0.158
AL,Pelham city,0.046
AL,Pell City city,0.208
AL,Pennington town,0.349
AL,Penton CDP,0.309
AL,Perdido CDP,0.395
AL,Perdido Beach town,0.177
AL,Peterman CDP,0.142
AL,Petrey town,0
AL,Phenix City city,0.21
AL,Phil Campbell town,0.344
AL,Pickensville town,0.224
AL,Piedmont city,0.256
AL,Pike Road town,0.023
