Geographic Area,City,poverty_rate
IL,Bardolph village,0.313
IL,Barrington village,0.063
IL,Barrington Hills village,0.07
IL,Barry city,0.079
IL,Bartelso village,0.013
IL,Bartlett village,0.041
IL,Bartonville village,0.124
IL,Basco village,0.141
IL,Batavia city,0.056
IL,Batchtown village,0.063
IL,Bath village,0.161
IL,Baylis village,0.179
IL,Bay View Gardens village,0.262
IL,Beach Park village,0.056
IL,Beardstown city,0.199
IL,Beason CDP,0
IL,Beaverville village,0.207
IL,Beckemeyer village,0.123
IL,Bedford Park village,0.119
IL,Beecher village,0.056
IL,Beecher City village,0.178
IL,Belgium village,0.242
IL,Belknap village,0.5
IL,Belle Prairie City town,0.033
IL,Belle Rive village,0.166
IL,Belleville city,0.182
IL,Bellevue village,0.162
IL,Bellflower village,0.121
IL,Bellmont village,0.188
IL,Bellwood village,0.135
IL,Belvidere city,0.149
IL,Bement village,0.082
IL,Benld city,0.225
IL,Bensenville village,0.139
IL,Benson village,0.094
IL,Bentley town,0
IL,Benton city,0.234
IL,Berkeley village,0.073
IL,Berlin village,0.153
IL,Berwyn city,0.14
IL,Bethalto village,0.145
IL,Bethany village,0.109
IL,Biggsville village,0.02
IL,Big Rock village,0.118
IL,Bingham village,0.067
IL,Bishop Hill village,0.103
IL,Bismarck village,0.077
IL,Blandinsville village,0.19
IL,Bloomingdale village,0.056
IL,Bloomington city,0.127
IL,Blue Island city,0.233
IL,Blue Mound village,0.126
IL,Bluffs village,0.141
IL,Bluford village,0.167
IL,Bolingbrook village,0.091
IL,Bondville village,0.185
IL,Bone Gap village,0.114
IL,Bonfield village,0.035
IL,Bonnie village,0.107
IL,Boody CDP,0.065
IL,Boulder Hill CDP,0.164
IL,Bourbonnais village,0.122
IL,Bowen village,0.142
IL,Braceville village,0.153
IL,Bradford village,0.115
IL,Bradley village,0.081
IL,Braidwood city,0.132
IL,Breese city,0.073
IL,Bridgeport city,0.125
IL,Bridgeview village,0.2
IL,Brighton village,0.069
IL,Brimfield village,0.078
IL,Broadlands village,0.13
IL,Broadview village,0.123
IL,Broadwell village,0.111
IL,Brocton village,0.224
IL,Brookfield village,0.098
IL,Brooklyn village,0.528
IL,Brookport city,0.154
IL,Broughton village,0.634
IL,Browning village,0.206
IL,Browns village,0.102
IL,Brownstown village,0.233
IL,Brussels village,0.288
IL,Bryant village,0.19
IL,Buckingham village,0.168
IL,Buckley village,0.099
IL,Buckner village,0.336
IL,Buda village,0.154
IL,Buffalo village,0.185
IL,Buffalo Grove village,0.043
IL,Bull Valley village,0.044
IL,Bulpitt village,0.313
IL,Buncombe village,0.094
IL,Bunker Hill city,0.136
IL,Burbank city,0.132
IL,Bureau Junction village,0.331
IL,Burlington village,0.112
IL,Burnham village,0.208
IL,Burnt Prairie village,0.152
IL,Burr Ridge village,0.062
IL,Bush village,0.275
IL,Bushnell city,0.161
IL,Butler village,0.169
IL,Byron city,0.053
IL,Cabery village,0.329
IL,Cahokia village,0.386
IL,Cairo city,0.457
IL,Caledonia village,0.146
IL,Calhoun village,0.078
IL,Calumet City city,0.222
IL,Calumet Park village,0.174
IL,Camargo village,0.131
IL,Cambria village,0.267
IL,Cambridge village,0.081
IL,Camden village,0.315
IL,Campbell Hill village,0.162
IL,Camp Point village,0.11
IL,Campton Hills village,0.043
IL,Campus village,0.253
IL,Candlewick Lake CDP,0.1
IL,Canton city,0.192
IL,Cantrall village,0.052
IL,Capron village,0.2
IL,Carbon Cliff village,0.207
IL,Carbondale city,0.493
IL,Carbon Hill village,0.186
IL,Carlinville city,0.176
IL,Carlock village,0.079
IL,Carlyle city,0.092
IL,Carmi city,0.173
IL,Carol Stream village,0.086
IL,Carpentersville village,0.167
IL,Carrier Mills village,0.253
IL,Carrollton city,0.118
IL,Carterville city,0.167
IL,Carthage city,0.075
IL,Cary village,0.088
IL,Casey city,0.15
IL,Caseyville village,0.203
IL,Catlin village,0.054
IL,Cave-In-Rock village,0.307
IL,Cedar Point village,0.101
IL,Cedarville village,0.067
IL,Central City village,0.196
IL,Centralia city,0.26
IL,Centreville city,0.478
IL,Cerro Gordo village,0.021
IL,Chadwick village,0.063
IL,Champaign city,0.282
IL,Chandlerville village,0.098
IL,Channahon village,0.046
IL,Channel Lake CDP,0.153
IL,Chapin village,0.181
IL,Charleston city,0.339
IL,Chatham village,0.049
IL,Chatsworth town,0.29
IL,Chebanse village,0.121
IL,Chemung CDP,0.493
IL,Chenoa city,0.079
IL,Cherry village,0.112
IL,Cherry Valley village,0.006
IL,Chester city,0.199
IL,Chesterfield village,0.06
IL,Chestnut CDP,0.225
IL,Chicago city,0.223
IL,Chicago Heights city,0.281
IL,Chicago Ridge village,0.211
IL,Chillicothe city,0.138
IL,Chrisman city,0.104
IL,Christopher city,0.196
IL,Cicero town,0.214
IL,Cisco village,0.016
IL,Cisne village,0.118
IL,Cissna Park village,0.119
IL,Claremont village,0.107
IL,Clarendon Hills village,0.072
IL,Clay City village,0.192
IL,Clayton village,0.191
IL,Clear Lake village,0.096
IL,Cleveland village,0.177
IL,Clifton village,0.05
IL,Clinton city,0.169
IL,Coal City village,0.067
IL,Coalton village,0.241
IL,Coal Valley village,0.048
IL,Coatsburg village,0.067
IL,Cobden village,0.241
IL,Coffeen city,0.198
IL,Colchester city,0.191
IL,Coleta village,0.222
IL,Colfax village,0.128
IL,Collinsville city,0.127
IL,Colona city,0.084
IL,Colp village,0.193
IL,Columbia city,0.065
IL,Columbus village,0.125
IL,Como CDP,0
IL,Compton village,0.098
IL,Concord village,0.048
IL,Congerville village,0.017
IL,Cooksville village,0.143
IL,Cordova village,0.087
IL,Cornell village,0.283
IL,Cornland CDP,0
IL,Cortland town,0.102
IL,Coulterville village,0.148
IL,Country Club Hills city,0.184
IL,Countryside city,0.133
IL,Cowden village,0.245
IL,Coyne Center CDP,0.07
IL,Crab Orchard CDP,0.109
IL,Crainville village,0.184
IL,Creal Springs city,0.183
IL,Crescent City village,0.126
IL,Crest Hill city,0.124
IL,Creston village,0.069
IL,Crestwood village,0.087
IL,Crete village,0.053
IL,Creve Coeur village,0.123
IL,Crossville village,0.255
IL,Crystal Lake city,0.066
IL,Crystal Lawns CDP,0.037
IL,Cuba city,0.213
IL,Cullom village,0.168
IL,Curran village,0.259
IL,Cutler village,0.189
IL,Cypress village,0.162
IL,Dahlgren village,0.094
IL,Dakota village,0.11
IL,Dallas City city,0.119
IL,Dalton City village,0.108
IL,Dalzell village,0.1
IL,Damiansville village,0.134
IL,Dana village,0.508
IL,Danforth village,0.144
IL,Danvers village,0.035
IL,Danville city,0.285
IL,Darien city,0.06
IL,Darmstadt CDP,#VALUE!
IL,Davis village,0.105
IL,Davis Junction village,0.068
IL,Dawson village,0.04
IL,Dayton CDP,0.265
IL,Decatur city,0.246
IL,Deer Creek village,0.06
IL,Deerfield village,0.029
IL,Deer Grove village,0.132
IL,Deer Park village,0.034
IL,DeKalb city,0.323
IL,De Land village,0.197
IL,Delavan city,0.1
IL,De Pue village,0.144
IL,De Soto village,0.247
IL,Des Plaines city,0.074
IL,Detroit village,0.045
IL,De Witt village,0.143
IL,Diamond village,0.16
IL,Dieterich village,0.163
IL,Divernon village,0.168
IL,Dix village,0.341
IL,Dixmoor village,0.365
IL,Dixon city,0.137
IL,Dolton village,0.248
IL,Dongola village,0.27
IL,Donnellson village,0.243
IL,Donovan village,0.279
IL,Dorchester village,0.146
IL,Dover village,0.397
IL,Dowell village,0.339
IL,Downers Grove village,0.053
IL,Downs village,0.025
IL,Du Bois village,0.247
IL,Dunfermline village,0.311
IL,Dunlap village,0.012
IL,Dupo village,0.168
IL,Du Quoin city,0.279
IL,Durand village,0.083
IL,Dwight village,0.136
IL,Eagarville village,0.287
IL,Earlville city,0.171
IL,East Alton village,0.18
IL,East Brooklyn village,0.056
IL,East Cape Girardeau village,0.286
IL,East Carondelet village,0.259
IL,East Dubuque city,0.112
IL,East Dundee village,0.146
IL,East Galesburg village,0.101
IL,East Gillespie village,0.066
IL,East Hazel Crest village,0.291
IL,East Moline city,0.19
IL,Easton village,0.205
IL,East Peoria city,0.113
IL,East St. Louis city,0.458
IL,Eddyville village,0.397
IL,Edgewood village,0.078
IL,Edinburg village,0.112
IL,Edwardsville city,0.124
IL,Effingham city,0.168
IL,Elburn village,0.04
IL,El Dara village,0.065
IL,Eldorado city,0.307
IL,Eldred village,0.227
IL,Elgin city,0.136
IL,Elizabeth village,0.136
IL,Elizabethtown village,0.27
IL,Elk Grove Village village,0.048
IL,Elkhart village,0.038
IL,Elkville village,0.224
IL,Elliott village,0.05
IL,Ellis Grove village,0.112
IL,Ellisville village,0.038
IL,Ellsworth village,0.112
IL,Elmhurst city,0.032
IL,Elmwood city,0.036
IL,Elmwood Park village,0.092
IL,El Paso city,0.141
IL,Elsah village,0.092
IL,Elvaston village,0.319
IL,Elwood village,0.162
IL,Emden village,0.112
IL,Emington village,0.207
IL,Energy village,0.189
IL,Enfield village,0.186
IL,Equality village,0.149
IL,Erie village,0.061
IL,Essex village,0.086
IL,Eureka city,0.08
IL,Evanston city,0.134
IL,Evansville village,0.215
IL,Evergreen Park village,0.082
IL,Ewing village,0.175
IL,Exeter village,0.263
IL,Fairbury city,0.113
IL,Fairfield city,0.171
IL,Fairmont CDP,0.158
IL,Fairmont City village,0.306
IL,Fairmount village,0.064
IL,Fairview village,0.091
IL,Fairview Heights city,0.096
IL,Farina village,0.286
IL,Farmer City city,0.131
IL,Farmersville village,0.186
IL,Farmington city,0.136
IL,Fayetteville village,0.11
IL,Ferris village,0.049
IL,Fidelity village,0.368
IL,Fieldon village,0.046
IL,Fillmore village,0.168
IL,Findlay village,0.138
IL,Fisher village,0.075
IL,Fithian village,0.194
IL,Flanagan village,0.162
IL,Flat Rock village,0.144
IL,Flora city,0.19
IL,Floraville CDP,#VALUE!
IL,Florence village,0.5
IL,Flossmoor village,0.024
IL,Foosland village,0
IL,Ford Heights village,0.453
IL,Forest City village,0.09
IL,Forest Lake CDP,0.073
IL,Forest Park village,0.099
IL,Forest View village,0.028
IL,Forrest village,0.164
IL,Forreston village,0.131
IL,Forsyth village,0.018
IL,Fox Lake village,0.114
IL,Fox Lake Hills CDP,0.12
IL,Fox River Grove village,0.087
IL,Frankfort village,0.057
IL,Frankfort Square CDP,0.013
IL,Franklin village,0.174
IL,Franklin Grove village,0.044
IL,Franklin Park village,0.108
IL,Freeburg village,0.057
IL,Freeman Spur village,0.113
IL,Freeport city,0.21
IL,Fulton city,0.091
IL,Fults village,0
IL,Gages Lake CDP,0.057
IL,Galatia village,0.192
IL,Galena city,0.126
IL,Galesburg city,0.246
IL,Galva city,0.135
IL,Garden Prairie CDP,0.146
IL,Gardner village,0.093
IL,Garrett village,0.167
IL,Gays village,0.031
IL,Geneseo city,0.076
IL,Geneva city,0.044
IL,Genoa city,0.058
IL,Georgetown CDP,0
IL,Georgetown city,0.195
IL,Germantown village,0.044
IL,Germantown Hills village,0.05
IL,German Valley village,0.057
IL,Gibson City city,0.183
IL,Gifford village,0.062
IL,Gilberts village,0
IL,Gillespie city,0.177
IL,Gilman city,0.224
IL,Gilson CDP,0.136
IL,Girard city,0.217
IL,Gladstone village,0.063
IL,Glasford village,0.126
IL,Glasgow village,0.111
IL,Glen Carbon village,0.058
IL,Glencoe village,0.037
IL,Glendale Heights village,0.116
IL,Glen Ellyn village,0.071
IL,Glenview village,0.044
IL,Glenwood village,0.128
IL,Godfrey village,0.056
IL,Godley village,0.1
IL,Golconda city,0.313
IL,Golden village,0.114
IL,Golden Gate village,0.242
IL,Golf village,0.023
IL,Goodfield village,0.036
IL,Good Hope village,0.041
IL,Goofy Ridge CDP,0.461
IL,Goreville village,0.099
IL,Gorham village,0.285
IL,Grafton city,0.162
IL,Grand Detour CDP,0.052
IL,Grand Ridge village,0.108
IL,Grand Tower city,0.262
IL,Grandview village,0.239
IL,Grandwood Park CDP,0.068
IL,Granite City city,0.17
IL,Grantfork village,0.053
IL,Grant Park village,0.075
IL,Granville village,0.192
IL,Grayslake village,0.06
IL,Grayville city,0.2
IL,Greenfield city,0.161
IL,Green Oaks village,0.041
IL,Greenup village,0.262
IL,Green Valley village,0.084
IL,Greenview village,0.062
IL,Greenville city,0.215
IL,Greenwood village,0.165
IL,Gridley village,0.041
IL,Griggsville city,0.111
IL,Gulf Port village,0
IL,Gurnee village,0.048
IL,Hainesville village,0.045
IL,Hamburg village,0.39
IL,Hamel village,0.041
IL,Hamilton city,0.12
IL,Hammond village,0.068
IL,Hampshire village,0.014
IL,Hampton village,0.095
IL,Hanaford village,0.296
IL,Hanna City village,0.046
IL,Hanover village,0.171
IL,Hanover Park village,0.119
IL,Hardin village,0.14
IL,Harmon village,0.074
IL,Harrisburg city,0.275
IL,Harrison CDP,0.151
IL,Harristown village,0.058
IL,Hartford village,0.145
IL,Hartsburg village,0.07
IL,Harvard city,0.266
IL,Harvel village,0.115
IL,Harvey city,0.364
IL,Harwood Heights village,0.098
IL,Havana city,0.188
IL,Hawthorn Woods village,0.031
IL,Hazel Crest village,0.17
IL,Hebron village,0.114
IL,Hecker village,0.21
IL,Henderson village,0.132
IL,Hennepin village,0.106
IL,Henning village,0.059
IL,Henry city,0.14
IL,Heritage Lake CDP,0
IL,Herrick village,0.258
IL,Herrin city,0.166
IL,Herscher village,0.086
IL,Hettick village,0.148
IL,Heyworth village,0.058
IL,Hickory Hills city,0.155
IL,Hidalgo village,0.065
IL,Highland city,0.103
IL,Highland Park city,0.065
IL,Highwood city,0.148
IL,Hillcrest village,0.085
IL,Hillsboro city,0.144
IL,Hillsdale village,0.106
IL,Hillside village,0.146
IL,Hillview village,0.337
IL,Hinckley village,0.038
IL,Hindsboro village,0.131
IL,Hinsdale village,0.056
IL,Hodgkins village,0.121
IL,Hoffman village,0.143
IL,Hoffman Estates village,0.052
IL,Holiday Hills village,0.122
IL,Holiday Shores CDP,0.023
IL,Hollowayville village,0.103
IL,Homer village,0.109
IL,Homer Glen village,0.036
IL,Hometown city,0.067
IL,Homewood village,0.071
IL,Hoopeston city,0.155
IL,Hooppole village,0.351
IL,Hopedale village,0.095
IL,Hopewell village,0.035
IL,Hopkins Park village,0.279
IL,Hoyleton village,0.159
IL,Hudson village,0.053
IL,Huey village,0.161
IL,Hull village,0.272
IL,Humboldt village,0.128
IL,Hume village,0.121
IL,Huntley village,0.023
IL,Hurst city,0.157
IL,Hutsonville village,0.143
IL,Illiopolis village,0.08
IL,Ina village,0.237
IL,Indian Creek village,0.016
IL,Indian Head Park village,0.028
IL,Indianola village,0.039
IL,Industry village,0.078
IL,Ingalls Park CDP,0.126
IL,Inverness village,0.002
IL,Iola village,0.15
IL,Ipava village,0.097
IL,Iroquois village,0.069
IL,Irving village,0.26
IL,Irvington village,0.182
IL,Irwin village,0.024
IL,Island Lake village,0.079
IL,Itasca village,0.054
IL,Iuka village,0.172
IL,Ivesdale village,0.089
IL,Jacksonville city,0.19
IL,Jeffersonville village,0.184
IL,Jeisyville village,0.189
IL,Jerome village,0.071
IL,Jerseyville city,0.064
IL,Jewett village,0.261
IL,Johnsburg village,0.069
IL,Johnsonville village,0.474
IL,Johnston City city,0.228
IL,Joliet city,0.122
IL,Jonesboro city,0.184
IL,Joppa village,0.48
IL,Joy village,0.05
IL,Junction village,0.009
IL,Junction City village,0.24
IL,Justice village,0.156
IL,Kampsville village,0.228
IL,Kane village,0.136
IL,Kaneville village,0.035
IL,Kangley village,0.047
IL,Kankakee city,0.336
IL,Kansas village,0.229
IL,Kappa village,0.102
IL,Karnak village,0.205
IL,Kaskaskia village,0
IL,Keenes village,0.183
IL,Keensburg village,0.138
IL,Keithsburg city,0.259
IL,Kell village,0.14
IL,Kempton village,0.053
IL,Kenilworth village,0.018
IL,Kenney village,0.173
IL,Kewanee city,0.18
IL,Keyesport village,0.435
IL,Kilbourne village,0.296
IL,Kildeer village,0.03
IL,Kincaid village,0.212
IL,Kinderhook village,0.03
IL,Kingston village,0.11
IL,Kingston Mines village,0.087
IL,Kinmundy city,0.332
IL,Kinsman village,0.322
IL,Kirkland village,0.055
IL,Kirkwood village,0.142
IL,Knollwood CDP,0.066
IL,Knoxville city,0.144
IL,Lacon city,0.14
IL,Ladd village,0.097
IL,La Fayette village,0.274
IL,La Grange village,0.056
IL,La Grange Park village,0.069
IL,La Harpe city,0.144
IL,Lake Barrington village,0.05
IL,Lake Bluff village,0.041
IL,Lake Camelot CDP,0.01
IL,Lake Catherine CDP,0.162
IL,Lake Forest city,0.054
IL,Lake Holiday CDP,0.052
IL,Lake in the Hills village,0.057
IL,Lake Ka-Ho village,0.172
IL,Lakemoor village,0.061
IL,Lake of the Woods CDP,0.148
IL,Lake Petersburg CDP,0.104
IL,Lake Summerset CDP,0.016
IL,Lake Villa village,0.039
IL,Lakewood village,0.028
IL,Lakewood Shores CDP,0.198
IL,Lake Zurich village,0.04
IL,La Moille village,0.058
IL,Lanark city,0.121
IL,Langleyville CDP,0
IL,Lansing village,0.146
IL,LaPlace CDP,0.14
IL,La Prairie village,0.262
IL,La Rose village,0.168
IL,LaSalle city,0.162
IL,Latham village,0.12
IL,Lawrenceville city,0.158
IL,Leaf River village,0.313
IL,Lebanon city,0.183
IL,Lee village,0.191
IL,Leland village,0.071
IL,Leland Grove city,0.026
IL,Lemont village,0.037
IL,Lena village,0.113
IL,Lenzburg village,0.137
IL,Leonore village,0.054
IL,Lerna village,0.247
IL,Le Roy city,0.067
IL,Lewistown city,0.12
IL,Lexington city,0.091
IL,Liberty village,0.117
IL,Libertyville village,0.043
IL,Lily Lake village,0.053
IL,Lima village,0.206
IL,Limestone village,0.035
IL,Lincoln city,0.186
IL,Lincolnshire village,0.052
IL,Lincolnwood village,0.06
IL,Lindenhurst village,0.038
IL,Lisbon village,0.113
IL,Lisle village,0.086
IL,Litchfield city,0.21
IL,Littleton village,0.017
IL,Little York village,0.194
IL,Liverpool village,0.201
IL,Livingston village,0.096
IL,Loami village,0.323
IL,Lockport city,0.044
IL,Loda village,0.257
IL,Lomax village,0.201
IL,Lombard village,0.078
IL,London Mills village,0.181
IL,Long Creek village,0.027
IL,Long Grove village,0.024
IL,Long Lake CDP,0.109
IL,Long Point village,0.04
IL,Longview village,0.096
IL,Loraine village,0.1
IL,Lostant village,0.07
IL,Lost Nation CDP,0.058
IL,Louisville village,0.21
IL,Loves Park city,0.114
IL,Lovington village,0.194
IL,Ludlow village,0.362
IL,Lyndon village,0.207
IL,Lynnville village,0.032
IL,Lynwood village,0.16
IL,Lyons village,0.152
IL,McClure village,0.396
IL,McCook village,0.087
IL,McCullom Lake village,0.119
IL,Macedonia village,0
IL,McHenry city,0.082
IL,Machesney Park village,0.085
IL,Mackinaw village,0.108
IL,McLean village,0.055
IL,McLeansboro city,0.159
IL,McNabb village,0.098
IL,Macomb city,0.334
IL,Macon city,0.123
IL,Madison city,0.378
IL,Maeystown village,0.132
IL,Magnolia village,0.396
IL,Mahomet village,0.065
IL,Makanda village,0.076
IL,Malden village,0.147
IL,Malta village,0.151
IL,Manchester village,0.083
IL,Manhattan village,0.033
IL,Manito village,0.112
IL,Manlius village,0.267
IL,Mansfield village,0.116
IL,Manteno village,0.075
IL,Maple Park village,0.021
IL,Mapleton village,0.052
IL,Maquon village,0.107
IL,Marengo city,0.113
IL,Marietta village,0.087
IL,Marine village,0.089
IL,Marion city,0.182
IL,Marissa village,0.217
IL,Mark village,0.12
IL,Markham city,0.258
IL,Maroa city,0.095
IL,Marquette Heights city,0.058
IL,Marseilles city,0.191
IL,Marshall city,0.239
IL,Martinsville city,0.176
IL,Martinton village,0.112
IL,Maryville village,0.069
IL,Mascoutah city,0.096
IL,Mason town,0.058
IL,Mason City city,0.181
IL,Matherville village,0.189
IL,Matteson village,0.112
IL,Mattoon city,0.21
IL,Maunie village,0.115
IL,Maywood village,0.228
IL,Mazon village,0.131
IL,Mechanicsburg village,0.143
IL,Media village,0.122
IL,Medora village,0.262
IL,Melrose Park village,0.179
IL,Melvin village,0.293
IL,Mendon village,0.138
IL,Mendota city,0.175
IL,Menominee village,0.03
IL,Meredosia village,0.129
IL,Merrionette Park village,0.071
IL,Metamora village,0.064
IL,Metcalf village,0.291
IL,Metropolis city,0.23
IL,Mettawa village,0.089
IL,Middletown village,0.125
IL,Midlothian village,0.116
IL,Milan village,0.135
IL,Milford village,0.174
IL,Millbrook village,0.094
IL,Mill Creek village,0
IL,Milledgeville village,0.094
IL,Millington village,0.152
IL,Mill Shoals village,0.054
IL,Millstadt village,0.042
IL,Milton village,0.254
IL,Mineral village,0.218
IL,Minier village,0.13
IL,Minonk city,0.061
IL,Minooka village,0.051
IL,Mitchell CDP,0.132
IL,Modesto village,0.213
IL,Mokena village,0.023
IL,Moline city,0.115
IL,Momence city,0.168
IL,Monee village,0.032
IL,Monmouth city,0.209
IL,Monroe Center village,0.008
IL,Montgomery village,0.052
IL,Monticello city,0.058
IL,Montrose village,0.139
IL,Morris city,0.108
IL,Morrison city,0.075
IL,Morrisonville village,0.09
IL,Morton village,0.046
IL,Morton Grove village,0.088
IL,Mound City city,0.347
IL,Mounds city,0.352
IL,Mound Station village,0.018
IL,Mount Auburn village,0.192
IL,Mount Carmel city,0.157
IL,Mount Carroll city,0.11
IL,Mount Clare village,0.217
IL,Mount Erie village,0.103
IL,Mount Morris village,0.181
IL,Mount Olive city,0.087
IL,Mount Prospect village,0.052
IL,Mount Pulaski city,0.092
IL,Mount Sterling city,0.155
IL,Mount Vernon city,0.209
IL,Mount Zion village,0.039
IL,Moweaqua village,0.125
IL,Muddy village,0.077
IL,Mulberry Grove village,0.26
IL,Mulkeytown CDP,0.199
IL,Muncie village,0.114
IL,Mundelein village,0.067
IL,Murphysboro city,0.213
IL,Murrayville village,0.172
IL,Naperville city,0.048
IL,Naplate village,0.151
IL,Naples town,0.083
IL,Nashville city,0.227
IL,Nason city,0.369
IL,Nauvoo city,0.093
IL,Nebo village,0.355
IL,Nelson village,0.153
IL,Neoga city,0.242
IL,Neponset village,0.153
IL,Newark village,0.055
IL,New Athens village,0.087
IL,New Baden village,0.109
IL,New Bedford village,0.06
IL,New Berlin village,0.021
IL,New Boston city,0.139
IL,New Burnside village,0.151
IL,New Canton town,0.169
IL,New Douglas village,0.124
IL,New Grand Chain village,0.116
IL,New Haven village,0.236
IL,New Holland village,0.084
IL,New Lenox village,0.031
IL,Newman city,0.157
IL,New Milford village,0.145
IL,New Minden village,0.082
IL,New Salem village,0.14
IL,Newton city,0.19
IL,Niantic village,0.085
IL,Niles village,0.116
IL,Nilwood town,0.198
IL,Noble village,0.188
IL,Nokomis city,0.14
IL,Nora village,0.124
IL,Normal town,0.238
IL,Norridge village,0.107
IL,Norris village,0.174
IL,Norris City village,0.229
IL,North Aurora village,0.073
IL,North Barrington village,0.019
IL,Northbrook village,0.024
IL,North Chicago city,0.253
IL,North City village,0.122
IL,Northfield village,0.049
IL,North Henderson village,0.094
IL,Northlake city,0.154
IL,North Pekin village,0.129
IL,North Riverside village,0.112
IL,North Utica village,0.051
IL,Norwood village,0.081
IL,Oak Brook village,0.038
IL,Oakbrook Terrace city,0.048
IL,Oakdale village,0.037
IL,Oakford village,0.104
IL,Oak Forest city,0.057
IL,Oak Grove village,0.332
IL,Oakland city,0.142
IL,Oak Lawn village,0.108
IL,Oak Park village,0.089
IL,Oak Run CDP,0.084
IL,Oakwood village,0.117
IL,Oakwood Hills village,0.063
IL,Oblong village,0.151
IL,Oconee village,0.156
IL,Odell village,0.101
IL,Odin village,0.16
IL,O'Fallon city,0.083
IL,Ogden village,0.044
IL,Oglesby city,0.075
IL,Ohio village,0.158
IL,Ohlman village,0.109
IL,Okawville village,0.081
IL,Old Mill Creek village,0.099
IL,Old Ripley village,0.12
IL,Old Shawneetown village,0.425
IL,Olive Branch CDP,0.208
IL,Olivet CDP,0.125
IL,Olmsted village,0.202
IL,Olney city,0.184
IL,Olympia Fields village,0.041
IL,Omaha village,0.179
IL,Onarga village,0.179
IL,Oneida city,0.049
IL,Opdyke CDP,0.363
IL,Oquawka village,0.11
IL,Orangeville village,0.099
IL,Oreana village,0.036
IL,Oregon city,0.217
IL,Orient city,0.233
IL,Orion village,0.069
IL,Orland Hills village,0.119
IL,Orland Park village,0.051
IL,Oswego village,0.034
IL,Ottawa city,0.154
IL,Otterville town,0.323
IL,Owaneco village,0.123
IL,Paderborn CDP,0
IL,Palatine village,0.104
IL,Palestine village,0.201
IL,Palmer village,0.081
IL,Palmyra village,0.188
IL,Palos Heights city,0.027
IL,Palos Hills city,0.107
IL,Palos Park village,0.038
IL,Pana city,0.253
IL,Panama village,0.179
IL,Panola village,0
IL,Papineau village,0.206
IL,Paris city,0.232
IL,Park City city,0.199
IL,Parkersburg village,0.092
IL,Park Forest village,0.192
IL,Park Ridge city,0.044
IL,Patoka village,0.115
IL,Pawnee village,0.078
IL,Paw Paw village,0.184
IL,Paxton city,0.103
IL,Payson village,0.104
IL,Pearl village,0.416
IL,Pearl City village,0.153
IL,Pecatonica village,0.06
IL,Pekin city,0.133
IL,Penfield CDP,0.019
IL,Peoria city,0.224
IL,Peoria Heights village,0.11
IL,Peotone village,0.038
IL,Percy village,0.165
IL,Perry village,0.24
IL,Peru city,0.089
IL,Pesotum village,0.029
IL,Petersburg city,0.217
IL,Phillipstown village,0
IL,Philo village,0.017
IL,Phoenix village,0.351
IL,Pierron village,0.222
IL,Pinckneyville city,0.186
IL,Pingree Grove village,0.187
IL,Piper City village,0.123
IL,Pistakee Highlands CDP,0.099
IL,Pittsburg village,0.118
IL,Pittsfield city,0.146
IL,Plainfield village,0.019
IL,Plainville village,0.147
IL,Plano city,0.14
IL,Plattville village,0.084
IL,Pleasant Hill village,0.209
IL,Pleasant Plains village,0.019
IL,Plymouth village,0.134
IL,Pocahontas village,0.152
IL,Polo city,0.113
IL,Pontiac city,0.151
IL,Pontoon Beach village,0.246
IL,Pontoosuc village,0.202
IL,Poplar Grove village,0.134
IL,Port Barrington village,0.041
IL,Port Byron village,0.094
IL,Posen village,0.271
IL,Potomac village,0.199
IL,Prairie City village,0.245
IL,Prairie du Rocher village,0.127
IL,Prairie Grove village,0.024
IL,Prestbury CDP,0.074
IL,Preston Heights CDP,0.163
IL,Princeton city,0.165
IL,Princeville village,0.104
IL,Prophetstown city,0.145
IL,Prospect Heights city,0.11
IL,Pulaski village,0.159
IL,Quincy city,0.182
IL,Radom village,0.086
IL,Raleigh village,0.16
IL,Ramsey village,0.249
IL,Rankin village,0.288
IL,Ransom village,0.031
IL,Rantoul village,0.251
IL,Rapids City village,0.08
IL,Raritan village,0.043
IL,Raymond village,0.178
IL,Red Bud city,0.041
IL,Reddick village,0.042
IL,Redmon village,0.04
IL,Rentchler CDP,#VALUE!
IL,Reynolds village,0.233
IL,Richmond village,0.125
IL,Richton Park village,0.193
IL,Richview village,0.222
IL,Ridge Farm village,0.137
IL,Ridgway village,0.196
IL,Ridott village,0.234
IL,Ringwood village,0.076
IL,Rio village,0.074
IL,Ripley village,0.277
IL,Riverdale village,0.282
IL,River Forest village,0.044
IL,River Grove village,0.13
IL,Riverside village,0.051
IL,Riverton village,0.208
IL,Riverwoods village,0.033
IL,Roanoke village,0.029
IL,Robbins village,0.32
IL,Roberts village,0.138
IL,Robinson city,0.16
IL,Rochelle city,0.102
IL,Rochester village,0.048
IL,Rockbridge village,0.039
IL,Rock City village,0.09
IL,Rockdale village,0.107
IL,Rock Falls city,0.179
IL,Rockford city,0.248
IL,Rock Island city,0.226
IL,Rock Island Arsenal CDP,0
IL,Rockton village,0.053
IL,Rockwood village,0.206
IL,Rolling Meadows city,0.094
IL,Rome CDP,0.106
IL,Romeoville village,0.084
IL,Roodhouse city,0.22
IL,Roscoe village,0.063
IL,Rose Hill village,0.2
IL,Roselle village,0.042
